（ai 奥 ）  abort 中断、中止 abort 
（a ）  outline 轮廓 outline

（o ）  overflow 溢出 overflow

（o ）  Overrides 复写，重写 Overrides

（pai ）  padding 内边距 padding

（po ）  parameter 参数 parameter

（pei ）  paste 黏贴 paste

（pai ）  pattern 模式 pattern

（pa ）  pause 暂停 pause

（po ）  perspective 立体效果 perspective

（pu ）  placeholder 占位符 placeholder

（po ）  position 位置 position

（po ）  preferences 参数选择 preferences

（pai ）  private 私有的 private

（po ）  promise 承诺、保证 promise

（pao ）  protocol 草案 protocol

（rui ）  readonly 只读的 readonly

（ruai）  RegExp 正则表达式 RegExp

（ruai ）  relative 相对定位 relative

（rui ）  remove 移动 remove

（rui ）  repeat 重复 repeat

（ruai ）  Represent 构成 Represent

（rui ）  resize 调整大小 resize

（rui ）  resources 资源 resources

（ruai ）  resume 简历 resume

（rui ）  return 返回 return

（sai ）  sample 样品 sample

（sai ）  sandbox 沙盘 sandbox

（sou ）  scope 范围 scope

（S ）  screen 屏幕 screen

（sei ）  search 搜索 search

（sai ）  section 部分 section

（sha ）  Shadow 阴影 Shadow

（s.）  Shrink 收缩 Shrink

（sai ）  size 大小 size

（sang ）  sound 声音 sound

（sao ）  source 来源 source

（S ）  span 行内元素标签 span

（sai ）  Specifies 指定 Specifies

（ ..）  src 来源 src

（sA ）  Statements 声明 Statements

（sai ）  step 步骤 step

（s. ）  Storage 仓库 Storage

（s. ）  String 字符串 String

（s. ）  strong 强调文本标签 strong

（sai ）  style 样式 style

（se ）  switch 分支 switch

（tA ）  table 列表 table

（tai ）  tag 标签 tag

（te ）  target 目标 target

（tai ）  template 模板 template

（s ）  throw 抛 throw

（tai ）  title 标题 title

（chuan ）  Transfer 转移 Transfer

（ chuan）  translate 翻译 translate

（tai ）  type 类型 type

（ang ）  undefined 不明确的 undefined

（ang ）  unload 退出 unload

（e ）  uppercase 大写字母 uppercase

（wai ）  validate 生效 validate

（wai ）  value 值 value

（wai ）  variable 可变的 variable

（ve）  versions 版本 versions

（V）  Visibility 能见度 Visibility

（V ）  visible 可见的 visible

（V）  wait 等待 wait

（wai）  Website 网站 Website

（wai）  while 当..时候 while

（wen ）  width 宽度 width

(wai)  wrap 包装 wrap

(wai) write 书写 write
